Bodyweight,Beginner,Novice ,Intermediate,Advanced,Elite,Gender
110,74,114,167,229,298,m
120,87,131,187,252,324,m
130,100,147,206,274,349,m
140,113,162,224,295,373,m
150,125,177,242,316,396,m
160,138,192,259,336,418,m
170,150,207,276,355,439,m
180,162,221,292,373,460,m
190,174,235,308,391,479,m
200,186,248,323,408,499,m
210,197,261,338,425,517,m
220,209,274,353,442,535,m
230,220,287,367,457,553,m
240,230,299,381,473,570,m
250,241,311,395,488,586,m
260,251,323,408,503,603,m
270,262,335,421,517,618,m
280,272,346,434,531,634,m
290,282,357,446,545,649,m
300,291,368,459,559,664,m
310,301,379,470,572,678,m
90,39,71,114,167,226,f
100,46,79,124,179,241,f
110,51,87,134,191,254,f
120,57,94,143,201,267,f
130,63,101,152,212,279,f
140,68,108,160,222,290,f
150,73,115,168,231,301,f
160,78,121,175,240,311,f
170,83,127,183,248,320,f
180,88,133,190,256,329,f
190,93,138,196,264,338,f
200,97,144,203,272,347,f
210,101,149,209,279,355,f
220,106,154,215,286,363,f
230,110,159,221,293,371,f
240,114,164,227,299,378,f
250,118,169,232,306,385,f
260,122,173,238,312,392,f
